用户ID,movie_id,评分
2709,18363,4
2713,17325,4
2715,8761,2
2716,6597,2
2718,3190,4
2719,4460,4
2721,20500,4
2722,16590,4
2723,21657,4
2724,11396,4
2725,5924,4
2735,21251,4
2736,641,4
2737,11013,4
2739,18816,2
1950,12143,4
1576,8599,4
2756,18359,2
2757,15964,4
2758,1090,4
2759,22148,4
2760,17474,4
2761,16666,2
991,21176,4
2204,17020,4
2768,6477,4
2771,7608,4
2773,2912,4
320,6312,2
2778,2969,4
2779,10726,4
1902,16824,4
2782,14962,4
2783,7159,4
2787,18259,4
2789,20452,4
2792,20540,4
2795,22723,4
2800,9437,4
669,14134,4
2811,13676,4
2813,12983,4
2814,3070,4
46,5496,4
2823,14851,4
2824,17586,4
2088,10117,4
2833,5636,4
2838,18432,4
2844,3496,4
2845,22247,4
2851,14194,4
2852,12373,4
2856,11743,4
2857,9400,4
2862,17597,4
2865,24,4
743,17132,2
2872,19173,4
187,18766,4
1386,20518,4
2876,19427,4
2877,14257,4
2878,5960,2
2879,12683,2
240,14730,4
2325,11678,4
2889,7250,4
2890,10104,4
2891,4988,4
2896,4257,4
2897,1566,4
2905,17371,2
2912,5731,4
2916,3348,4
2919,18866,4
2921,12814,4
2928,18592,4
2931,6225,4
2932,17917,4
217,1746,4
2941,12894,4
2942,21305,4
286,10757,4
2951,6167,4
2952,14928,4
2954,22549,4
2955,20981,2
2958,13933,4
2959,7120,4
2966,20252,4
