用户ID,movie_id,评分
600,11612,8
601,19074,10
604,3939,8
606,3923,8
607,9742,8
608,15265,8
609,126,8
610,9415,8
611,22768,8
612,3978,8
613,12354,8
614,22334,8
615,3798,8
616,13089,10
617,13916,8
619,19284,8
620,9500,8
621,20576,8
622,21105,8
623,13601,8
624,5068,8
625,3573,8
626,11318,8
627,19179,8
629,14845,8
631,6314,8
633,3642,8
635,108,10
636,22921,8
637,9989,8
638,10787,8
639,15293,10
641,16708,10
644,5007,8
646,12865,8
648,1182,10
650,16592,8
651,22945,8
653,9355,8
654,1315,10
655,10957,8
656,10788,8
657,10311,8
658,19348,8
660,15966,8
661,7878,8
662,19599,10
663,12347,10
665,20891,8
669,7129,10
671,8426,8
672,5551,8
673,22084,8
674,9668,10
675,20383,8
676,14154,8
677,7288,8
678,3362,8
679,18400,8
680,16697,8
681,6600,8
683,2901,8
684,2302,8
685,13118,8
686,21519,8
687,16539,8
688,10293,8
689,19796,8
690,15496,10
692,4030,8
694,249,8
695,6628,8
696,10489,8
697,14827,8
700,6023,8
701,20501,8
702,2601,10
703,2148,8
704,1077,10
705,22004,8
707,14760,8
708,10553,8
709,4404,8
710,8225,10
711,20313,8
712,17095,8
713,17306,8
714,12633,10
716,14342,8
717,19366,8
720,23033,10
721,2225,10
722,10382,10
723,9785,8
724,19401,8
725,6691,8
726,13528,8
727,11927,10
729,13817,8
730,8766,8
731,18234,8
732,12149,8
734,17098,8
735,4191,8
736,6226,8
737,3947,8
739,8081,10
740,16141,10
741,15668,8
742,6994,8
743,21517,8
744,21986,8
745,4522,10
746,1424,10
747,5392,8
751,15390,8
752,22712,8
753,11720,8
754,18304,10
755,21113,8
756,3934,8
758,1470,8
759,7646,8
760,5935,8
761,17888,8
762,2629,10
763,3230,8
764,2214,10
765,3498,8
766,12827,8
767,1433,8
768,21505,8
770,19656,10
771,7529,8
772,10592,8
773,19375,10
775,22718,8
776,5254,10
777,3265,8
778,2156,10
779,22764,8
780,11626,8
781,7878,8
782,12338,8
783,17091,8
784,16886,8
785,12080,8
786,2796,8
789,10744,8
790,21563,8
792,8329,10
793,15893,8
794,6535,10
795,13701,10
796,9261,8
797,21235,8
798,16448,10
800,5314,8
803,15292,8
804,5191,8
805,3846,8
806,10495,8
807,7230,8
808,21564,8
809,18400,8
810,9860,10
811,21493,10
813,16541,8
815,15701,8
816,114,8
818,3809,8
819,1570,8
820,10036,8
821,13583,8
822,8486,8
823,851,8
824,18328,8
826,9868,10
827,8324,8
828,15760,8
829,16171,8
830,12308,8
832,22819,8
833,17889,8
834,21797,8
836,1254,8
837,14348,8
839,18591,8
840,15682,8
841,6178,10
843,16446,10
844,15075,10
847,6647,8
848,21698,8
849,20392,8
851,4499,8
852,8523,8
853,3611,8
854,10191,8
855,10901,8
857,5463,8
858,22213,8
860,22082,10
862,16312,8
863,19034,8
864,8838,10
865,12628,8
866,15793,10
867,19058,8
868,11163,8
870,15077,10
871,17255,8
873,4939,8
874,13419,10
876,21470,10
877,9380,8
878,1903,8
879,14017,8
880,20039,10
881,5892,10
882,12662,10
883,8733,8
884,11565,8
885,22586,10
886,8977,8
889,7005,8
890,11727,8
891,12653,8
893,1072,8
894,22250,8
895,7099,8
896,4504,10
898,12591,10
899,401,10
900,14061,8
901,11960,8
903,8278,8
904,18147,8
905,14557,10
909,9727,8
911,19627,10
912,18825,10
913,8654,8
914,5645,10
915,22357,8
917,1708,8
918,11181,8
920,8048,8
921,21765,10
922,11099,8
924,4490,10
925,7567,10
926,6284,10
927,22267,8
928,10105,8
929,7898,10
930,2931,10
931,3281,8
933,12814,8
935,9151,8
937,20015,8
938,13563,10
939,4914,8
942,11720,8
944,22531,8
945,513,10
946,18087,8
948,1432,10
949,18703,8
950,14304,10
951,21308,8
952,6775,8
953,9357,8
956,2176,8
958,11360,10
959,17903,8
960,1264,8
961,6001,8
962,13915,8
963,9245,8
965,587,8
966,8318,8
967,22869,8
968,22427,8
969,12269,8
970,6749,8
972,14001,8
974,2339,8
975,8431,8
976,16537,8
977,18190,10
978,7896,8
979,14176,8
980,16669,8
985,16748,8
986,5994,8
987,15529,8
988,8558,8
990,20492,8
991,7606,10
994,21530,10
997,8186,8
